"","id","season","k","fl","year","cave","date","av_mid_dat","days","day_index","id_chr","id_ori","year_ori","cave_ori","first","s2","cave_season","cs_index","cave_k_season","cave_k","temp"
"1",1,"august",9,59,5,20,2016-08-24,2016-08-21,3,"1","0016128","0016128",2016,"C7",9,1,"20_1","1_20_9","20_9_1","20,9",NA
"2",2,"august",9,56,5,16,2016-08-17,2016-08-21,-4,"1","0062976","0062976",2016,"C26",9,1,"16_1","2_16_9","16_9_1","16,9",7.23
"3",2,"august",9,56,5,16,2016-08-24,2016-08-21,3,"2","0062976","0062976",2016,"C26",9,1,"16_1","2_16_9","16_9_1","16,9",7.23
"4",3,"august",3,50,2,13,2013-08-20,2013-08-21,-1,"1","052689","052689",2013,"C23",3,1,"13_1","3_13_3","13_3_1","13,3",5.81
"5",3,"june",4,69,3,10,2014-07-01,2014-06-16,15,"1","052689","052689",2014,"C20",3,2,"10_2","3_10_4","10_4_2","10,4",NA
"6",3,"june",6,78,4,10,2015-06-23,2015-06-16,7,"1","052689","052689",2015,"C20",3,2,"10_2","3_10_6","10_6_2","10,6",NA
"7",4,"june",4,114,3,15,2014-06-30,2014-06-16,14,"1","052691","052691",2014,"C25",4,2,"15_2","4_15_4","15_4_2","15,4",5.6325
"8",4,"august",5,115,3,20,2014-08-23,2014-08-21,2,"1","052691","052691",2014,"C7",4,1,"20_1","4_20_5","20_5_1","20,5",NA
"9",5,"august",3,70,2,18,2013-08-13,2013-08-21,-8,"1","052692","052692",2013,"C5",3,1,"18_1","5_18_3","18_3_1","18,3",6.6225
"10",5,"june",4,80,3,18,2014-06-29,2014-06-16,13,"1","052692","052692",2014,"C5",3,2,"18_2","5_18_4","18_4_2","18,4",4.7275
"11",6,"june",4,69,3,15,2014-06-30,2014-06-16,14,"1","052694","052694",2014,"C25",4,2,"15_2","6_15_4","15_4_2","15,4",5.6325
"12",6,"june",8,92,5,15,2016-06-08,2016-06-16,-8,"1","052694","052694",2016,"C25",4,2,"15_2","6_15_8","15_8_2","15,8",5.345
"13",6,"june",8,95,5,15,2016-06-21,2016-06-16,5,"2","052694","052694",2016,"C25",4,2,"15_2","6_15_8","15_8_2","15,8",5.345
"14",7,"june",2,49,2,10,2013-06-24,2013-06-16,8,"1","052695","052695",2013,"C20",2,2,"10_2","7_10_2","10_2_2","10,2",NA
"15",7,"august",3,61,2,10,2013-09-07,2013-08-21,17,"1","052695","052695",2013,"C20",2,1,"10_1","7_10_3","10_3_1","10,3",NA
"16",7,"june",4,70,3,10,2014-07-01,2014-06-16,15,"1","052695","052695",2014,"C20",2,2,"10_2","7_10_4","10_4_2","10,4",NA
"17",8,"august",3,58,2,10,2013-08-22,2013-08-21,1,"1","052696","052696",2013,"C20",3,1,"10_1","8_10_3","10_3_1","10,3",NA
"18",8,"june",4,65,3,10,2014-07-01,2014-06-16,15,"1","052696","052696",2014,"C20",3,2,"10_2","8_10_4","10_4_2","10,4",NA
"19",8,"june",6,81,4,10,2015-06-23,2015-06-16,7,"1","052696","052696",2015,"C20",3,2,"10_2","8_10_6","10_6_2","10,6",NA
"20",8,"august",7,87,4,10,2015-08-20,2015-08-21,-1,"1","052696","052696",2015,"C20",3,1,"10_1","8_10_7","10_7_1","10,7",5.14
"21",8,"august",7,88,4,10,2015-08-27,2015-08-21,6,"2","052696","052696",2015,"C20",3,1,"10_1","8_10_7","10_7_1","10,7",5.14
